text,arti
aku,abdi
air,cai
basah,baseuh
buruk,butut
nol,nol
satu,hiji
dua,dua
tiga,tilu
empat,opat
lima,lima
enam,genep
tujuh,tujuh
delapan,delapan
sembilan,salapan
sepuluh,sapuluh
besar,badag
kecil,leutik
kursi,korsi
lepas,locot
lapar,lapar
tidur,sare
makan,tuang
mandi,mandi
meja,meja
minum,minum
piring,piring
putus,pegat
bagus,alus
rumah,bumi
rumput,jukut
telinga,ceuli
itu,eta
dimana,dimana
kapan,iraha
berapa,sabaraha
apa,naon
siapa,saha
bagaimana,kumaha
dia,manehna
pergi,indit
berangkat,indit
kenyang,wareg
mengantuk,tunduh
ramai,rame
hangat,anget
potong,peupeus
sarung,sarunk
retak,rengat
dinding,tembok
besok,isuk
